Region,week,sgtf,n,percent,conf_low,conf_high
East Midlands,2/3/2021,Cases with confirmed S-gene,22,1.8,1.2,2.8
East Midlands,2/3/2021,Cases with confirmed SGTF,1191,98.2,97.2,98.8
East Midlands,9/3/2021,Cases with confirmed S-gene,24,1,0.6,1.5
East Midlands,9/3/2021,Cases with confirmed SGTF,2444,99,98.5,99.4
East Midlands,16/3/2021,Cases with confirmed S-gene,12,0.5,0.3,0.9
East Midlands,16/3/2021,Cases with confirmed SGTF,2482,99.5,99.1,99.7
East Midlands,23/3/2021,Cases with confirmed S-gene,4,0.2,0.1,0.5
East Midlands,23/3/2021,Cases with confirmed SGTF,2187,99.8,99.5,99.9
East Midlands,30/3/2021,Cases with confirmed S-gene,14,0.9,0.5,1.6
East Midlands,30/3/2021,Cases with confirmed SGTF,1488,99.1,98.4,99.5
East Midlands,6/4/2021,Cases with confirmed S-gene,27,3.2,2.2,4.7
East Midlands,6/4/2021,Cases with confirmed SGTF,809,96.8,95.3,97.8
East Midlands,13/4/2021,Cases with confirmed S-gene,40,5.2,3.8,7.1
East Midlands,13/4/2021,Cases with confirmed SGTF,730,94.8,92.9,96.2
East Midlands,20/4/2021,Cases with confirmed S-gene,64,12.4,9.7,15.6
East Midlands,20/4/2021,Cases with confirmed SGTF,452,87.6,84.4,90.3
East Midlands,27/4/2021,Cases with confirmed S-gene,70,12.8,10.1,15.9
East Midlands,27/4/2021,Cases with confirmed SGTF,479,87.2,84.1,89.9
East Midlands,4/5/2021,Cases with confirmed S-gene,208,21.8,19.2,24.6
East Midlands,4/5/2021,Cases with confirmed SGTF,747,78.2,75.4,80.8
East Midlands,11/5/2021,Cases with confirmed S-gene,183,32.7,28.9,36.8
East Midlands,11/5/2021,Cases with confirmed SGTF,376,67.3,63.2,71.1
East of England,2/3/2021,Cases with confirmed S-gene,18,1.8,1.1,2.8
East of England,2/3/2021,Cases with confirmed SGTF,1002,98.2,97.2,98.9
East of England,9/3/2021,Cases with confirmed S-gene,23,1.5,1.0,2.3
East of England,9/3/2021,Cases with confirmed SGTF,1523,98.5,97.7,99.0
East of England,16/3/2021,Cases with confirmed S-gene,16,1.1,0.6,1.8
East of England,16/3/2021,Cases with confirmed SGTF,1445,98.9,98.2,99.4
East of England,23/3/2021,Cases with confirmed S-gene,11,1,0.5,1.8
East of England,23/3/2021,Cases with confirmed SGTF,1108,99,98.2,99.5
East of England,30/3/2021,Cases with confirmed S-gene,13,1.7,1.0,3.0
East of England,30/3/2021,Cases with confirmed SGTF,738,98.3,97.0,99.0
East of England,6/4/2021,Cases with confirmed S-gene,20,4.2,2.7,6.6
East of England,6/4/2021,Cases with confirmed SGTF,454,95.8,93.4,97.3
East of England,13/4/2021,Cases with confirmed S-gene,22,5.1,3.3,7.8
East of England,13/4/2021,Cases with confirmed SGTF,408,94.9,92.2,96.7
East of England,20/4/2021,Cases with confirmed S-gene,33,9.8,6.9,13.6
East of England,20/4/2021,Cases with confirmed SGTF,305,90.2,86.4,93.1
East of England,27/4/2021,Cases with confirmed S-gene,88,23.1,19.0,27.7
East of England,27/4/2021,Cases with confirmed SGTF,293,76.9,72.3,81.0
East of England,4/5/2021,Cases with confirmed S-gene,201,35.4,31.5,39.5
East of England,4/5/2021,Cases with confirmed SGTF,367,64.6,60.5,68.5
East of England,11/5/2021,Cases with confirmed S-gene,296,53.6,49.4,57.8
East of England,11/5/2021,Cases with confirmed SGTF,256,46.4,42.2,50.6
London,2/3/2021,Cases with confirmed S-gene,44,3.8,2.8,5.1
London,2/3/2021,Cases with confirmed SGTF,1118,96.2,94.9,97.2
London,9/3/2021,Cases with confirmed S-gene,63,4.9,3.8,6.2
London,9/3/2021,Cases with confirmed SGTF,1228,95.1,93.8,96.2
London,16/3/2021,Cases with confirmed S-gene,42,4,2.9,5.4
London,16/3/2021,Cases with confirmed SGTF,1016,96,94.6,97.1
London,23/3/2021,Cases with confirmed S-gene,28,3.9,2.6,5.6
London,23/3/2021,Cases with confirmed SGTF,692,96.1,94.4,97.4
London,30/3/2021,Cases with confirmed S-gene,36,9.3,6.7,12.8
London,30/3/2021,Cases with confirmed SGTF,350,90.7,87.2,93.3
London,6/4/2021,Cases with confirmed S-gene,81,18.2,14.8,22.2
London,6/4/2021,Cases with confirmed SGTF,363,81.8,77.8,85.2
London,13/4/2021,Cases with confirmed S-gene,86,21.3,17.5,25.7
London,13/4/2021,Cases with confirmed SGTF,318,78.7,74.3,82.5
London,20/4/2021,Cases with confirmed S-gene,96,33.3,28.0,39.1
London,20/4/2021,Cases with confirmed SGTF,192,66.7,60.9,72.0
London,27/4/2021,Cases with confirmed S-gene,130,48.7,42.6,54.8
London,27/4/2021,Cases with confirmed SGTF,137,51.3,45.2,57.4
London,4/5/2021,Cases with confirmed S-gene,222,53.6,48.7,58.5
London,4/5/2021,Cases with confirmed SGTF,192,46.4,41.5,51.3
London,11/5/2021,Cases with confirmed S-gene,223,55.5,50.5,60.4
London,11/5/2021,Cases with confirmed SGTF,179,44.5,39.6,49.5
North East,2/3/2021,Cases with confirmed S-gene,5,0.3,0.1,0.8
North East,2/3/2021,Cases with confirmed SGTF,1510,99.7,99.2,99.9
North East,9/3/2021,Cases with confirmed S-gene,4,0.3,0.1,0.7
North East,9/3/2021,Cases with confirmed SGTF,1531,99.7,99.3,99.9
North East,16/3/2021,Cases with confirmed S-gene,3,0.2,0.1,0.7
North East,16/3/2021,Cases with confirmed SGTF,1443,99.8,99.3,99.9
North East,23/3/2021,Cases with confirmed SGTF,931,100,99.5,100.0
North East,30/3/2021,Cases with confirmed S-gene,3,0.4,0.1,1.3
North East,30/3/2021,Cases with confirmed SGTF,747,99.6,98.7,99.9
North East,6/4/2021,Cases with confirmed S-gene,1,0.2,0.0,1.5
North East,6/4/2021,Cases with confirmed SGTF,438,99.8,98.5,100.0
North East,13/4/2021,Cases with confirmed S-gene,4,1.8,0.6,4.8
North East,13/4/2021,Cases with confirmed SGTF,222,98.2,95.2,99.4
North East,20/4/2021,Cases with confirmed S-gene,5,2.1,0.8,5.2
North East,20/4/2021,Cases with confirmed SGTF,231,97.9,94.8,99.2
North East,27/4/2021,Cases with confirmed S-gene,11,8.6,4.6,15.2
North East,27/4/2021,Cases with confirmed SGTF,117,91.4,84.8,95.4
North East,4/5/2021,Cases with confirmed S-gene,7,9.3,4.2,18.9
North East,4/5/2021,Cases with confirmed SGTF,68,90.7,81.1,95.8
North East,11/5/2021,Cases with confirmed S-gene,4,15.4,5.0,35.7
North East,11/5/2021,Cases with confirmed SGTF,22,84.6,64.3,95.0
North West,2/3/2021,Cases with confirmed S-gene,39,1.1,0.8,1.5
North West,2/3/2021,Cases with confirmed SGTF,3606,98.9,98.5,99.2
North West,9/3/2021,Cases with confirmed S-gene,32,0.8,0.6,1.2
North West,9/3/2021,Cases with confirmed SGTF,3837,99.2,98.8,99.4
North West,16/3/2021,Cases with confirmed S-gene,22,0.6,0.4,0.9
North West,16/3/2021,Cases with confirmed SGTF,3559,99.4,99.1,99.6
North West,23/3/2021,Cases with confirmed S-gene,30,1,0.7,1.4
North West,23/3/2021,Cases with confirmed SGTF,3054,99,98.6,99.3
North West,30/3/2021,Cases with confirmed S-gene,30,1.6,1.1,2.2
North West,30/3/2021,Cases with confirmed SGTF,1904,98.4,97.8,98.9
North West,6/4/2021,Cases with confirmed S-gene,28,1.9,1.3,2.8
North West,6/4/2021,Cases with confirmed SGTF,1434,98.1,97.2,98.7
North West,13/4/2021,Cases with confirmed S-gene,49,4.6,3.5,6.1
North West,13/4/2021,Cases with confirmed SGTF,1013,95.4,93.9,96.5
North West,20/4/2021,Cases with confirmed S-gene,102,9.7,8.0,11.7
North West,20/4/2021,Cases with confirmed SGTF,950,90.3,88.3,92.0
North West,27/4/2021,Cases with confirmed S-gene,322,27.8,25.2,30.5
North West,27/4/2021,Cases with confirmed SGTF,837,72.2,69.5,74.8
North West,4/5/2021,Cases with confirmed S-gene,1055,53.8,51.6,56.0
North West,4/5/2021,Cases with confirmed SGTF,906,46.2,44.0,48.4
North West,11/5/2021,Cases with confirmed S-gene,1285,69.1,66.9,71.2
North West,11/5/2021,Cases with confirmed SGTF,575,30.9,28.8,33.1
